SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,007004,已付股息(融资),25116930.3
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,007011,偿还融资租赁,2006275.74
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,007997,融资业务其他项目,-53876.97
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,007999,融资业务现金净额,-5922190.75
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,010999,现金净额,-1363097603.28
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,011001,期初现金,1698950385.65
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,011997,期间变动其他项目,-22449592.69
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,011999,期末现金,313403189.68
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,013999,非运算项目,626806379.36
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,001001,除税前溢利(业务利润),460171026.96
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,001002,减:利息收入,37616672.64
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,001003,加:利息支出,17794030.8
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,001004,减:投资收益,1766505.84
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,001007,减:重估盈余,-91745140.8
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,001008,减:出售资产之溢利,14055495.36
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,001009,加:折旧及摊销,3157743.6
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,001010,减:汇兑收益,14972447.52
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,001999,营运资金变动前经营溢利,504456820.8
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,002002,应收帐款减少,1115819.28
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,002005,应付关联方款项增加(减少),-249635649.12
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,002006,营运资本变动其他项目,2249944.32
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,002008,预收账款、按金及其他应付款增加(减少),-25692966.24
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,002011,发展中物业(增加)减少,73371150.24
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,002999,经营产生现金,305865119.28
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,003002,已付利息(经营),11607516.0
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,003003,已付税项,118936683.12
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,003999,经营业务现金净额,175320920.16
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,005001,已收利息(投资),37702376.88
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,005002,已收股息(投资),1193202.72
00131.HK,00131,卓能(集团),10007411,2021-06-30 00:00:00,001,6-30,2020-07-01 00:00:00,005003,存款减少(增加),1862195.04
